category,art,brand,name,colorWay,color,fibers,inStock,nm,Price/item,price,nm1,nm2,nm3,meterage
merino,707495,Botto Guiseppe,alba ,white,white,100%WV,940,2/30000,€ 35.25,€ 3.75,1,2,30000,1500
merino,700720,Lanerossi,albany,pink,baby roze,100%WV,630,1/15000,€ 25.20,€ 4.00,1,1,15000,1500
cotton,500901,Biagioli modesto,arlecchino,multicolor,wit/blauw/rood/geel,100%CO,1070,1/4600,€ 32.10,€ 3.00,1,1,4600,460
alpaca,404452,Craft,baby alpaca,black,black,100%WP,735,1/1500,€ 34.91,€ 4.75,1,1,1500,150
alpaca,404453,Craft,baby alpaca,black,black,100%WP,690,1/1500,€ 32.78,€ 4.75,1,1,1500,150
alpaca,404454,Craft,baby alpaca,black,black,100%WP,945,1/1500,€ 44.89,€ 4.75,1,1,1500,150
alpaca,404455,Craft,baby alpaca,black,black,100%WP,935,1/1500,€ 44.41,€ 4.75,1,1,1500,150
camel hair,404450,Filpucci,baby camel,black,black,50%WK 50%WV,925,2/13000,€ 60.13,€ 6.50,1,2,13000,650
cashmere,102035,Filati Power,benedicta,beige,sand,100%WS,260,2/28000,€ 39.00,€ 15.00,1,2,28000,1400
merino,700719,Botto Guiseppe,boston,natural,ecru,100%WV,1005,1/1/6000,€ 40.20,€ 4.00,1,1,6000,600
merino,700729,Botto Guiseppe,boston,natural,ecru,100%WV,970,1/1/6000,€ 38.80,€ 4.00,1,1,6000,600
alpaca,400408,Sesia,bunny,white,wit,25%WP 25%PA 50%WV,840,1/1500,€ 16.80,€ 2.00,1,1,1500,150
cashmere,101957,Loro Piana,cablelight,white,white,100%WS,165,3/20000,€ 24.75,€ 15.00,1,3,20000,667
cashmere,101963,Loro Piana,cablelight,black,black,100%WS,910,3/20000,€ 136.50,€ 15.00,1,3,20000,667
cashmere,101964,Loro Piana,cablelight,black,black,100%WS,880,3/20000,€ 132.00,€ 15.00,1,3,20000,667
cashmere,101965,Loro Piana,cablelight,black,black,100%WS,450,3/20000,€ 67.50,€ 15.00,1,3,20000,667
cashmere,101966,Loro Piana,cablelight,black,black,100%WS,885,3/20000,€ 132.75,€ 15.00,1,3,20000,667
cashmere,101968,Loro Piana,cablelight,black,black,100%WS,815,3/20000,€ 122.25,€ 15.00,1,3,20000,667
cashmere,101969,Loro Piana,cablelight,blue,jeans,100%WS,715,3/20000,€ 107.25,€ 15.00,1,3,20000,667
cashmere,101970,Loro Piana,cablelight,blue,jeans,100%WS,575,3/20000,€ 86.25,€ 15.00,1,3,20000,667
cashmere,101971,Loro Piana,cablelight,blue,jeans,100%WS,670,3/20000,€ 100.50,€ 15.00,1,3,20000,667
cashmere,101972,Loro Piana,cablelight,blue,jeans,100%WS,615,3/20000,€ 92.25,€ 15.00,1,3,20000,667
cashmere,101975,Loro Piana,cablelight,blue,jeans,100%WS,710,3/20000,€ 106.50,€ 15.00,1,3,20000,667
cashmere,101976,Loro Piana,cablelight,blue,jeans,100%WS,1025,3/20000,€ 153.75,€ 15.00,1,3,20000,667
cashmere,101978,Loro Piana,cablelight,blue,jeans,100%WS,600,3/20000,€ 90.00,€ 15.00,1,3,20000,667
